grp,pp,S,DID,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,3,1,3,0.81938,0.80566,1.519,1.511,0.5,0.4795,0.998,1.091,0.34429,0.31142,3.5036,1.7204,3.9856,-0.16856,0.051919,0.023352,0.33854,0.33854,0.79622,0.7357,0.37237,0.35211,0.93398,0.88618,0.7269,0.73658,0.88726,0.86243,0.68628,0.56987,3.1416,3.1416,0.76217,1,0.9881,0.68338,0.062762,0.006734,1.2044,0.30405,1.0871,0.036139,0.03,0.0395
1,3,2,1,0.74465,0.81199,1.577,1.6515,0.613,0.668,0.957,0.952,0.39055,0.41225,3.375,3.2225,3.4308,0.54202,0.11439,0.11988,0.29668,0.29668,0.79277,0.77982,0.28508,0.3134,0.78905,0.85381,0.68946,0.71062,0.90889,0.91675,0.72658,0.74347,3.1416,2.8141,0.75704,1,0.99319,0.49392,0.098377,0.0087898,1.2461,0.23371,1.1935,0.059093,-0.0045,-0.005707
1,3,2,1,0.75895,0.86813,1.616,1.6455,0.5655,0.6535,1.03,0.995,0.36838,0.40282,3.2943,3.2342,3.606,0.81694,0.12419,0.10775,0.30353,0.30353,0.76311,0.82922,0.34416,0.28798,0.82382,0.90161,0.68347,0.76363,0.939,0.92905,0.73424,0.80198,2.8544,3.1416,0.74449,1,0.99757,0.52461,0.096053,0.011066,1.2937,0.28789,1.2181,0.065824,0.0445,0.055074
1,3,2,1,0.77962,0.81845,1.5245,1.4915,0.5895,0.574,0.9395,0.9225,0.38477,0.38617,3.491,3.5682,3.624,0.66809,0.11935,0.10828,0.33854,0.33854,0.79771,0.7909,0.3114,0.30198,0.80638,0.87409,0.69845,0.72121,0.93979,0.91013,0.76208,0.76294,3.1269,2.8251,0.76695,1,0.99974,0.59745,0.10197,0.008569,1.2731,0.32158,1.1892,0.06778,-0.0005,-0.00065595
1,3,2,2,0.80665,0.77966,1.3855,1.3415,0.5155,0.565,0.8485,0.8245,0.38229,0.40519,3.8412,2.9817,4.0091,0.46006,0.10077,0.10205,0.35903,0.35903,0.78152,0.75486,0.31001,0.27792,0.8223,0.7854,0.67292,0.69797,0.9333,0.88116,0.76942,0.73808,2.7475,1.8124,0.77622,1,0.99954,0.65032,0.10044,0.0072645,1.2365,0.27479,1.1729,0.065034,0.0485,0.070011
1,3,2,2,0.78191,0.78369,1.365,1.379,0.504,0.547,0.881,0.84,0.36466,0.39871,3.8988,2.9007,4.1072,0.38254,0.085561,0.09463,0.36821,0.36821,0.74221,0.80149,0.28276,0.27555,0.81161,0.81441,0.66005,0.68602,0.90403,0.9115,0.74674,0.78324,2.735,2.5436,0.7692,1,0.99875,0.62427,0.13155,0.010668,1.234,0.34797,1.1432,0.086011,0.056,0.082051
1,3,2,2,0.82335,0.86763,1.413,1.4115,0.533,0.5695,0.8705,0.8055,0.37854,0.42279,3.7664,2.8339,3.7158,0.096736,0.093797,0.089927,0.35903,0.35903,0.80582,0.8501,0.2892,0.28116,0.83346,0.88441,0.73462,0.81185,0.92127,0.91091,0.72716,0.78912,2.0788,3.1416,0.7716,1,0.99743,0.60219,0.10746,0.0089769,1.2173,0.42772,1.0919,0.090142,0.0645,0.091295
1,3,2,3,0.76813,0.84021,1.274,1.2475,0.4965,0.547,0.756,0.7225,0.39567,0.43489,4.1775,2.0837,3.7987,-0.088737,0.079785,0.06759,0.39405,0.39405,0.77323,0.81618,0.31644,0.224,0.78561,0.79831,0.69223,0.76219,0.90542,0.90142,0.75571,0.75968,2.0854,1.565,0.78915,1,0.99852,0.7072,0.12777,0.0098472,1.2167,0.33741,1.1403,0.077665,0.074,0.11617
1,3,2,3,0.78543,0.81476,1.306,1.325,0.487,0.5565,0.815,0.764,0.36525,0.42887,4.0751,1.9619,3.8067,-0.25599,0.0513,0.066508,0.38069,0.38069,0.83124,0.78574,0.30941,0.26013,0.82993,0.78523,0.71636,0.74804,0.9422,0.88829,0.76792,0.74672,1.6654,2.0699,0.78603,1,0.99148,0.72838,0.11706,0.012063,1.2105,0.44193,1.0954,0.069937,0.0905,0.13859
1,3,2,3,0.82544,0.86266,1.303,1.287,0.491,0.544,0.7925,0.732,0.3861,0.43187,4.0844,2.02,4.0574,-0.22855,0.061013,0.065207,0.38147,0.38147,0.83837,0.84237,0.30671,0.24616,0.87293,0.82854,0.75053,0.78523,0.96645,0.93124,0.80871,0.78188,3.1416,1.3777,0.76009,1,0.99428,0.71875,0.11324,0.010009,1.2275,0.40915,1.1248,0.071644,0.114,0.17498
