grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,3,2,0.90849,0.485,0.218,0.273,0.44574,8.2474,8.9153,0.12823,1.019,0.86985,0.16892,0.87239,0.86829,0.90376,0.80201,1.1482
1,3,3,2,0.9284,0.5185,0.237,0.2805,0.45506,7.7146,8.4139,0.13343,0.97656,0.89359,0.18071,0.89014,0.90066,0.92059,0.82909,1.1719
1,3,3,3,0.81932,0.9435,0.412,0.531,0.43396,5.6406,5.7142,0.11062,0.51945,0.78743,0.24244,0.81607,0.74253,0.86612,0.73588,2.8793
1,3,3,3,0.88396,0.8445,0.345,0.49,0.42849,6.3019,6.7189,0.076128,0.57445,0.8574,0.22591,0.88277,0.81993,0.9162,0.81114,3.1416
1,3,3,3,0.87049,0.888,0.403,0.499,0.4424,5.9932,5.4181,0.11328,0.55427,0.80652,0.24893,0.82184,0.78288,0.89269,0.76291,2.2739
1,6,1,1,0.68332,0.871,0.3275,0.543,0.38499,2.9865,3.9805,0.096362,0.48828,0.72313,0.26321,0.72695,0.65321,0.79064,0.69226,1.3611
1,6,1,1,0.77698,0.9865,0.4165,0.5585,0.42333,2.6351,3.6607,0.12224,0.50863,0.76234,0.18879,0.83584,0.79757,0.74701,0.66889,1.5708
1,6,1,1,0.74131,0.9465,0.3535,0.565,0.4045,2.7464,3.9762,0.14956,0.49913,0.75616,0.26131,0.82337,0.69571,0.80933,0.73705,2.3484
1,6,1,2,0.81828,1.123,0.404,0.715,0.36842,3.5619,3.3059,0.090886,0.46875,0.77491,0.27103,0.87368,0.67457,0.88481,0.73971,3.1416
1,6,1,2,0.72414,0.944,0.372,0.572,0.41131,4.2373,4.4555,0.25345,0.53478,0.76542,0.22758,0.77806,0.6598,0.83618,0.79259,3.1416
1,6,1,2,0.75014,1.1025,0.4055,0.672,0.39329,3.6281,2.8381,0.15207,0.46705,0.75565,0.29023,0.87161,0.72205,0.77833,0.70901,3.1416
1,6,1,3,0.76231,1.32,0.443,0.8715,0.34409,4.032,4.2609,0.10539,0.39062,0.7379,0.3463,0.79899,0.62937,0.90807,0.71183,1.4774
