grp,pp,S,IDL,IDR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,1,2,0.8644,0.87866,0.356,0.355,0.178,0.1855,0.1805,0.17,0.4941,0.52207,7.3019,11.268,10.291,-0.3397,1,1,1.4106,1.4106,0.85281,0.86665,0.16183,0.18406,0.86455,0.86978,0.88844,0.92101,0.82304,0.85017,0.81863,0.85734,1.0924,1.2473,0.74633,1,0.99914,0.95128,0.035229,0.0054415,1.2219,0.82019,0.85641,0.017564,0,0
1,2,2,1,3,0.71712,0.83224,0.8445,0.818,0.255,0.237,0.5575,0.5835,0.31308,0.28651,3.0782,6.5061,4.2656,1.0159,0.029929,0.062749,0.61035,0.61035,0.68545,0.75751,0.27271,0.32873,0.80797,0.92593,0.67437,0.73159,0.75836,0.91581,0.54626,0.67011,1.5708,1.6549,0.70627,1,0.97832,0.79561,0.27621,0.023737,1.1239,0.51082,0.90886,0.22972,-0.0365,-0.086442
1,2,2,1,3,0.73788,0.73392,0.866,0.8555,0.246,0.2345,0.618,0.6155,0.28322,0.26934,3.0017,6.2208,4.511,1.044,0.027443,0.039096,0.58594,0.58594,0.66075,0.7755,0.31039,0.38014,0.89028,0.86836,0.66593,0.60286,0.79357,0.86998,0.56659,0.61616,1.7344,1.886,0.66106,1,0.99993,0.87055,0.21457,0.014732,1.1026,0.40869,0.93048,0.17008,-0.0145,-0.033487
1,2,2,1,3,0.7507,0.81684,0.7885,0.7905,0.2495,0.234,0.5225,0.5565,0.31411,0.29562,3.2967,6.7324,4.4027,1.2765,0.028286,0.028744,0.626,0.626,0.68252,0.74363,0.27002,0.30994,0.85619,0.90136,0.63577,0.68271,0.75135,0.91464,0.62497,0.6658,1.442,3.1416,0.80825,1,0.99373,0.85285,0.15956,0.0085597,1.1553,0.34244,1.0282,0.11482,-0.0415,-0.10526
1,2,2,2,1,0.70359,0.70482,1.021,1.013,0.2745,0.2705,0.7465,0.7565,0.26162,0.26359,5.2125,2.5661,5.3108,-0.03211,0.071343,0.063461,0.47871,0.47871,0.67545,0.72127,0.4547,0.3773,0.91333,0.81492,0.58618,0.56513,0.73215,0.82318,0.57973,0.53925,3.1416,1.6939,0.75577,1,0.97093,0.88956,-0.038679,0.0084504,1.0506,0.35013,0.90901,-0.016423,-0.002,-0.0039177
1,2,2,2,1,0.80496,0.62289,0.931,0.9195,0.232,0.2405,0.675,0.671,0.25013,0.26383,5.7165,2.827,5.7019,-0.28998,0.053401,0.097104,0.49913,0.49913,0.65437,0.59085,0.33871,0.39049,0.81994,0.76542,0.57725,0.52064,0.94777,0.7408,0.58342,0.56933,1.5077,1.7572,0.75755,1,0.9657,0.91289,0.036653,0.008649,1.0862,0.31108,0.97183,0.023927,-0.0065,-0.013963
1,2,2,2,1,0.67361,0.7006,0.889,0.876,0.229,0.236,0.645,0.6465,0.26615,0.272,5.9864,2.9675,5.5843,0.227,0.034278,0.05086,0.55804,0.55804,0.64925,0.64637,0.34485,0.38941,0.81273,0.83192,0.56892,0.56922,0.76156,0.81794,0.57731,0.55775,2.193,1.677,0.80649,1,0.97715,0.93578,0.070429,0.0076615,1.0733,0.31798,0.95479,0.064184,-0.0175,-0.03937
1,2,2,2,2,0.69407,0.71368,1.203,1.191,0.372,0.413,0.805,0.7715,0.32154,0.33924,4.4239,3.359,4.4118,0.15297,0.078434,0.16852,0.41594,0.41594,0.68436,0.66303,0.41424,0.42335,0.7837,0.78526,0.59351,0.57057,0.83485,0.84741,0.60213,0.50209,1.9616,3.1416,0.75577,1,0.95066,0.86263,0.082505,0.012571,1.0879,0.39465,0.96331,0.064982,-0.051,-0.084788
1,2,2,2,2,0.65621,0.6123,1.1925,1.198,0.3495,0.4315,0.838,0.758,0.29616,0.3475,4.4629,3.339,4.2197,0.45686,0.048229,0.16468,0.43777,0.43777,0.61769,0.64487,0.4374,0.51142,0.73148,0.75243,0.54905,0.54657,0.79134,0.76634,0.5939,0.50781,1.9805,3.095,0.71998,1,0.9729,0.83727,0.075493,0.017554,1.0612,0.32817,0.96416,0.05356,-0.058,-0.097275
1,2,2,2,2,0.76401,0.81392,1.167,1.157,0.38,0.422,0.783,0.741,0.32578,0.37257,4.5603,3.4572,4.6543,0.28199,0.076565,0.17823,0.43597,0.43597,0.74893,0.75931,0.34357,0.44062,0.89693,0.87292,0.63715,0.59838,0.84496,0.944,0.64623,0.56696,1.5708,3.1416,0.78991,1,0.95229,0.87862,0.25002,0.024693,1.1169,0.45239,0.95208,0.20052,-0.084,-0.14396
1,2,2,2,3,0.68461,0.70865,1.259,1.234,0.463,0.4315,0.767,0.8225,0.38259,0.34364,4.2274,4.3129,4.1882,0.79326,0.10905,0.29107,0.40023,0.40023,0.63093,0.73958,0.35603,0.51982,0.80421,0.8099,0.57265,0.56029,0.78083,0.83408,0.58492,0.5408,2.9055,3.1416,0.64881,1,0.9657,0.82016,0.24086,0.028789,1.1492,0.35347,1.0758,0.16326,0.0025,0.0039714
1,2,2,2,3,0.69084,0.76272,1.2415,1.2255,0.474,0.4115,0.7585,0.825,0.37248,0.32647,4.2868,4.3432,4.3898,0.82517,0.08951,0.09514,0.40409,0.40409,0.62987,0.71553,0.33623,0.47195,0.76685,0.85816,0.57006,0.55983,0.80921,0.9004,0.58212,0.52144,2.1555,2.0096,0.67967,1,0.97142,0.81352,0.22656,0.026096,1.1367,0.33981,1.0534,0.15078,-0.067,-0.10793
1,2,2,2,3,0.76866,0.77622,1.332,1.362,0.508,0.462,0.842,0.892,0.37734,0.34401,3.9954,3.9074,3.9493,0.97921,0.074903,0.12557,0.36821,0.36821,0.71869,0.80712,0.3209,0.58027,0.88192,0.84089,0.58891,0.53599,0.84626,0.94114,0.63022,0.52457,2.4488,2.3191,0.6932,1,0.95666,0.79698,0.20896,0.013733,1.1455,0.33298,1.0644,0.1608,-0.032,-0.048048
1,2,3,1,1,0.80633,0.79072,0.2075,0.205,0.1085,0.109,0.107,0.1035,0.50912,0.53509,12.528,12.681,11.838,-5.2393,1,1,1.7756,1.7756,0.73852,0.80462,0.14334,0.16089,0.82419,0.82302,0.74204,0.75173,0.68937,0.69824,0.76169,0.82427,0.86493,0.86912,0.77782,1,0.99121,0.89315,-0.078732,0.010058,1.1074,0.7257,0.77031,-0.083102,0.006,0.057831
1,2,3,1,1,0.81916,0.83461,0.193,0.192,0.1,0.104,0.0985,0.097,0.50376,0.53893,13.469,13.539,13.866,-2.6645,1,1,2.5391,2.5391,0.81165,0.81916,0.14132,0.12276,0.83603,0.84502,0.77999,0.87439,0.74475,0.74108,0.84168,0.82801,0.78221,0.72942,0.73662,1,0.99774,0.68546,-0.011829,0.014247,1.1589,0.72549,0.80265,-0.036997,0.003,0.031088
1,2,3,1,1,0.85559,0.87241,0.1625,0.16,0.085,0.0845,0.0815,0.082,0.51058,0.52114,15.997,16.247,16.505,-6.5386,1,1,3.1467,3.1467,0.82803,0.78352,0.14204,0.17391,0.81851,0.75403,0.86578,0.90419,0.8432,0.76512,0.818,0.70227,0.40705,0.40657,0.67937,1,0.99358,0.54734,0.085153,0.039504,1.1194,0.82863,0.70532,0.062223,-0.009,-0.11077
1,2,3,1,2,0.89598,0.83765,0.4765,0.482,0.219,0.227,0.253,0.2395,0.46805,0.49994,5.4554,8.2989,7.306,-0.29599,1,1,0.93587,0.93587,0.8615,0.83767,0.17059,0.15381,0.87377,0.84012,0.82797,0.8127,0.88212,0.8502,0.8623,0.84624,1.1873,1.2078,0.75444,1,0.99551,0.99083,0.032379,0.0067883,1.2185,0.7715,0.89871,0.026815,-0.001,-0.0041973
1,2,3,1,2,0.86336,0.86049,0.463,0.469,0.223,0.229,0.2325,0.2285,0.49326,0.5073,5.6157,8.5288,9.1897,0.87164,1,1,1.021,1.021,0.85232,0.86735,0.17097,0.17076,0.85659,0.86669,0.84419,0.84942,0.85441,0.85984,0.85534,0.89084,1.0352,1.4317,0.76493,1,0.98384,0.98724,-0.06361,0.0072442,1.2334,0.8066,0.91335,-0.069245,0.0145,0.062635
1,2,3,1,2,0.83793,0.80854,0.5,0.501,0.224,0.232,0.272,0.264,0.44924,0.46638,5.1989,7.984,7.4979,0.027838,1,1,0.97656,0.97656,0.83772,0.82137,0.1725,0.14706,0.86306,0.86519,0.81012,0.80492,0.84783,0.81529,0.83527,0.82058,1.4296,0.99382,0.76731,1,0.99776,0.99597,-0.039121,0.0046333,1.2133,0.80615,0.87797,-0.049525,0.011,0.044
1,2,3,1,3,0.76437,0.78721,0.7985,0.7835,0.237,0.2335,0.54,0.5595,0.30363,0.30663,3.2554,6.7926,4.9935,1.1189,0.054345,0.045577,0.65104,0.65104,0.73669,0.7275,0.26438,0.32051,0.86018,0.89308,0.64592,0.64786,0.79468,0.87201,0.65994,0.65358,1.5708,1.454,0.76915,1,0.99571,0.87789,0.057642,0.0043667,1.1521,0.42308,0.96952,0.045317,-0.01,-0.025047
1,2,3,1,3,0.73061,0.80393,0.7445,0.7385,0.2625,0.248,0.473,0.484,0.3483,0.33637,3.4916,7.2065,5.6609,1.4572,0.15727,0.10241,0.7053,0.7053,0.73154,0.75948,0.25698,0.32818,0.82951,0.85237,0.67297,0.69773,0.7936,0.88883,0.69063,0.71746,1.5708,1.5059,0.86954,1,0.99683,0.9148,0.12043,0.0063171,1.1612,0.58415,0.92825,0.10529,-0.034,-0.091336
1,2,3,1,3,0.84133,0.85706,0.802,0.806,0.241,0.2335,0.57,0.5655,0.30742,0.28433,3.2412,6.6029,4.3245,1.5152,0.039626,0.028723,0.61035,0.61035,0.75125,0.7636,0.2686,0.37874,0.91442,0.94217,0.65474,0.6913,0.84681,0.9398,0.70533,0.68461,1.2579,1.6852,0.79236,1,0.97623,0.79101,0.12568,0.0071256,1.1693,0.39209,0.98766,0.096983,-0.036,-0.089776
1,2,3,2,1,0.6821,0.78436,0.962,0.962,0.271,0.269,0.692,0.702,0.2831,0.27884,5.5321,2.7021,5.5232,-0.083613,0.03591,0.044117,0.53267,0.53267,0.68676,0.64012,0.36986,0.36969,0.80043,0.87743,0.59793,0.57741,0.81255,0.86953,0.60874,0.59893,1.5201,2.0248,0.74961,1,0.98231,0.9099,-0.073224,0.013717,1.1052,0.4178,0.93828,-0.025483,0,0
1,2,3,2,1,0.71423,0.7755,0.9195,0.93,0.264,0.2505,0.6595,0.6605,0.28226,0.27447,5.7879,2.7951,5.8862,-0.96843,0.04166,0.051351,0.53074,0.53074,0.74851,0.67423,0.36089,0.38512,0.82132,0.79379,0.59233,0.62192,0.85205,0.84807,0.65847,0.55334,1.5051,1.5708,0.7427,1,0.95827,0.94206,-0.11738,0.022778,1.0879,0.46168,0.90708,-0.0624,0.0085,0.018488
1,2,3,2,1,0.63121,0.60276,0.8855,0.8915,0.246,0.221,0.644,0.674,0.2737,0.24368,6.0101,2.9158,6.0417,-0.33489,0.040308,0.037251,0.53267,0.53267,0.67341,0.65493,0.3663,0.44672,0.80582,0.75366,0.58536,0.57611,0.73217,0.73343,0.62605,0.50193,1.4715,2.3728,0.74807,1,0.97724,0.91975,-0.054047,0.010804,1.059,0.38996,0.92325,-0.027568,-0.0005,-0.0011293
1,2,3,2,2,0.66948,0.76155,0.936,0.925,0.254,0.287,0.674,0.637,0.27411,0.31144,5.6858,4.3243,5.803,0.26463,0.035928,0.09389,0.52083,0.52083,0.6524,0.61348,0.4107,0.40678,0.83505,0.87666,0.57499,0.56901,0.8257,0.86753,0.60108,0.54111,2.9225,2.039,0.77543,1,0.98072,0.90401,0.061406,0.01008,1.1191,0.33946,0.99824,0.052933,-0.031,-0.066239
1,2,3,2,2,0.71408,0.73996,0.938,0.914,0.281,0.239,0.655,0.678,0.29304,0.25762,5.6737,4.3764,5.3726,0.10865,0.05103,0.047497,0.54506,0.54506,0.74111,0.62827,0.344,0.42152,0.84815,0.86177,0.61423,0.58362,0.81655,0.82202,0.61328,0.55105,1.5708,2.0257,0.76087,1,0.99235,0.89291,0.035006,0.0098991,1.095,0.42606,0.92958,0.042896,-0.027,-0.057569
1,2,3,2,2,0.77008,0.74284,1.0585,1.051,0.2895,0.308,0.753,0.7315,0.27232,0.29966,5.0279,3.8059,5.1908,0.43605,0.044842,0.076064,0.4695,0.4695,0.68577,0.70384,0.37168,0.39419,0.88697,0.88292,0.60691,0.60743,0.8673,0.84899,0.64041,0.52865,1.5018,3.1416,0.76762,1,0.97349,0.87699,0.027375,0.0080351,1.1064,0.39745,0.95219,0.031794,-0.0255,-0.048181
1,2,3,2,3,0.6211,0.70834,1.126,1.095,0.414,0.369,0.727,0.749,0.36017,0.32941,4.7264,4.8602,4.5676,0.87494,0.052649,0.11058,0.47871,0.47871,0.68885,0.69211,0.34077,0.3822,0.76608,0.88043,0.57246,0.57318,0.71788,0.77362,0.63063,0.56535,2.3172,1.99,0.76774,1,0.97983,0.87169,0.06972,0.010526,1.1485,0.31554,1.0499,0.07579,-0.055,-0.097691
1,2,3,2,3,0.72559,0.78594,1.1065,1.1055,0.408,0.4065,0.7005,0.717,0.3689,0.35925,4.8097,4.814,4.7796,0.82761,0.084749,0.19863,0.44389,0.44389,0.7306,0.7624,0.3064,0.37256,0.80697,0.92479,0.6207,0.63995,0.82926,0.87248,0.6961,0.59441,1.5708,2.9274,0.70833,1,0.99069,0.80784,0.10512,0.014019,1.1727,0.44098,1.017,0.10136,-0.1225,-0.22142
1,2,3,2,3,0.70648,0.75249,1.144,1.132,0.378,0.38,0.75,0.751,0.31951,0.31902,4.652,4.7013,4.7198,0.99447,0.056548,0.089501,0.46165,0.46165,0.62489,0.69507,0.34006,0.37566,0.85353,0.91447,0.56001,0.59399,0.77838,0.86335,0.60593,0.5624,2.3444,3.1416,0.86352,1,0.99106,0.82525,0.084086,0.0072856,1.1697,0.23811,1.0901,0.062853,-0.033,-0.057692
1,3,1,1,1,0.89108,0.80717,0.575,0.576,0.2325,0.23,0.34,0.346,0.40291,0.39507,4.5208,4.513,4.6144,-1.4761,1,0.15375,0.87193,0.87193,0.85216,0.77924,0.19237,0.20155,0.86713,0.80819,0.84229,0.72319,0.9146,0.84173,0.73656,0.74429,1.297,1.5708,0.65926,1,0.99369,0.97111,-0.11117,0.014871,1.1451,0.7678,0.80071,-0.070781,0.011,0.038261
1,3,1,1,1,0.83946,0.81203,0.535,0.535,0.24,0.224,0.298,0.315,0.4477,0.41199,4.8588,4.8588,5.7644,-0.87048,1,0.34143,0.939,0.939,0.8389,0.78255,0.18436,0.1761,0.85655,0.81999,0.88563,0.76613,0.8429,0.79061,0.71737,0.7288,1.1646,1.127,0.76031,1,0.99464,0.98636,-0.09519,0.0091578,1.1511,0.7855,0.81758,-0.083728,0.007,0.026168
1,3,1,1,1,0.8223,0.8473,0.501,0.5025,0.217,0.221,0.275,0.292,0.44553,0.43877,5.1885,5.1731,5.5067,-1.3603,1,1,1.0173,1.0173,0.8002,0.82906,0.16617,0.21557,0.84002,0.83229,0.87552,0.85191,0.87087,0.85057,0.69271,0.72166,1.371,1.372,0.69915,1,0.99763,0.99845,-0.10689,0.010295,1.16,0.81979,0.77713,-0.089616,0.014,0.055888
1,3,1,1,2,0.84254,0.88637,0.819,0.827,0.324,0.307,0.5015,0.531,0.39796,0.37505,3.1741,4.8371,4.721,0.56711,0.13631,0.10655,0.61035,0.61035,0.79932,0.81308,0.2159,0.2776,0.87674,0.90854,0.76682,0.78057,0.84505,0.89309,0.73409,0.7387,2.3512,3.1416,0.8045,1,0.99381,0.84411,-0.1352,0.010883,1.2082,0.52558,1.017,-0.11356,0.0075,0.018315
1,3,1,1,2,0.86853,0.88181,0.7785,0.7775,0.276,0.263,0.492,0.5035,0.35755,0.36058,3.3391,5.1448,4.3184,0.46776,0.12137,0.085114,0.63345,0.63345,0.81316,0.81563,0.23692,0.29788,0.88316,0.90331,0.80836,0.78932,0.87323,0.87418,0.66772,0.70978,1.2307,3.1416,0.78194,1,0.99254,0.85329,-0.059897,0.0067886,1.1586,0.55593,0.93257,-0.050021,0.003,0.0077071
